Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxStdErrRelative;MinInvokeCount;MinIterationTime;RemoveOutliers;Affinity;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;RetainVm;Server;Clock;EngineFactory;Toolchain;InvocationCount;IterationTime;LaunchCount;RunStrategy;TargetCount;UnrollFactor;WarmupCount;Length;Mean;StdDev
ArrayFind;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;70.3899 ns;0.0272 ns
ArrayBinarySearch;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;27.3728 ns;0.0196 ns
ListFind;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;209.7294 ns;0.1793 ns
ListForEachSearch;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;262.5808 ns;0.0328 ns
ListForSearch;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;136.7851 ns;0.8293 ns
ListBinarySearch;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;29.0765 ns;0.0469 ns
LinkedListFind;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;255.1997 ns;5.5559 ns
DictionaryContainsKey;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;10.0276 ns;0.0080 ns
DictionaryContainsValue;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;401.0131 ns;0.0384 ns
DictionaryTryGetValue;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;12.4856 ns;0.0064 ns
SortedDictionaryContainsKey;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;54.7247 ns;0.0891 ns
SortedDictionaryContainsValue;Default;False;Default;Default;Default;Default;Default;4095;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100;"1,542.2116 ns";2.2467 ns
